TraningTrack1	 length = 405.0331
AddReward	2020/9/18 17:05:46	9.988071
AddReward	2020/9/18 17:05:46	9.991098
AddReward	2020/9/18 17:05:46	9.987483
AddReward	2020/9/18 17:05:46	9.991042
AddReward	2020/9/18 17:05:46	9.988078
AddReward	2020/9/18 17:05:46	9.991113
AddReward	2020/9/18 17:05:46	9.988095
AddReward	2020/9/18 17:05:46	9.991053
AddReward	2020/9/18 17:05:46	9.988078
AddReward	2020/9/18 17:05:46	9.991116
AddReward	2020/9/18 17:05:46	9.988091
AddReward	2020/9/18 17:05:46	9.991119
AddReward	2020/9/18 17:05:46	9.987085
AddReward	2020/9/18 17:05:46	9.991113
AddReward	2020/9/18 17:05:46	9.988078
AddReward	2020/9/18 17:05:46	9.991097
AddReward	2020/9/18 17:05:46	9.988069
AddReward	2020/9/18 17:05:46	9.991022
AddReward	2020/9/18 17:05:46	9.988097
AddReward	2020/9/18 17:05:46	9.991101
AddReward	2020/9/18 17:05:46	9.988057
AddReward	2020/9/18 17:05:46	9.99107
AddReward	2020/9/18 17:05:46	9.80197
AddReward	2020/9/18 17:05:46	9.819283
AddReward	2020/9/18 17:05:46	9.840639
AddReward	2020/9/18 17:05:46	9.859712
AddReward	2020/9/18 17:05:46	9.873579
AddReward	2020/9/18 17:05:46	9.891305
AddReward	2020/9/18 17:05:46	9.88302
AddReward	2020/9/18 17:05:46	9.901709
AddReward	2020/9/18 17:05:46	9.920262
AddReward	2020/9/18 17:05:46	9.942871
AddReward	2020/9/18 17:05:46	9.931768
AddReward	2020/9/18 17:05:46	9.924847
AddReward	2020/9/18 17:05:46	9.914877
AddReward	2020/9/18 17:05:46	9.907969
AddReward	2020/9/18 17:05:46	9.898005
AddReward	2020/9/18 17:05:46	9.916619
AddReward	2020/9/18 17:05:46	9.932104
AddReward	2020/9/18 17:05:46	9.95045
AddReward	2020/9/18 17:05:46	9.965465
AddReward	2020/9/18 17:05:46	9.983276
AddReward	2020/9/18 17:05:46	9.987852
AddReward	2020/9/18 17:05:46	9.991046
AddReward	2020/9/18 17:05:46	9.988061
AddReward	2020/9/18 17:05:46	9.9911
AddReward	2020/9/18 17:05:46	9.98808
AddReward	2020/9/18 17:05:46	9.990662
AddReward	2020/9/18 17:05:46	9.988013
AddReward	2020/9/18 17:05:46	9.991101
AddReward	2020/9/18 17:05:47	9.988089
AddReward	2020/9/18 17:05:47	9.991117
AddReward	2020/9/18 17:05:47	9.987755
AddReward	2020/9/18 17:05:47	9.991105
AddReward	2020/9/18 17:05:47	9.988099
AddReward	2020/9/18 17:05:47	9.991117
AddReward	2020/9/18 17:05:47	9.988089
AddReward	2020/9/18 17:05:47	9.991036
AddReward	2020/9/18 17:05:47	9.988069
AddReward	2020/9/18 17:05:47	9.991106
AddReward	2020/9/18 17:05:47	9.98809
AddReward	2020/9/18 17:05:47	9.991111
AddReward	2020/9/18 17:05:47	9.985782
AddReward	2020/9/18 17:05:47	9.990866
AddReward	2020/9/18 17:05:47	9.987343
AddReward	2020/9/18 17:05:47	9.990808
AddReward	2020/9/18 17:05:47	9.987911
AddReward	2020/9/18 17:05:47	9.987896
AddReward	2020/9/18 17:05:47	9.988085
AddReward	2020/9/18 17:05:47	9.991076
AddReward	2020/9/18 17:05:47	9.988088
AddReward	2020/9/18 17:05:47	9.991113
AddReward	2020/9/18 17:05:47	9.987487
AddReward	2020/9/18 17:05:47	9.991111
AddReward	2020/9/18 17:05:47	9.988065
AddReward	2020/9/18 17:05:47	9.991073
AddReward	2020/9/18 17:05:47	9.988041
AddReward	2020/9/18 17:05:47	9.991084
AddReward	2020/9/18 17:05:47	9.988086
AddReward	2020/9/18 17:05:47	9.991073
AddReward	2020/9/18 17:05:47	9.988024
AddReward	2020/9/18 17:05:47	9.991034
AddReward	2020/9/18 17:05:47	9.984821
AddReward	2020/9/18 17:05:47	9.991117
AddReward	2020/9/18 17:05:47	9.987988
AddReward	2020/9/18 17:05:47	9.99111
AddReward	2020/9/18 17:05:47	9.988097
