Circuit = TraningTrack1	length = 405.0331
AddReward	2020/9/18 17:42:41	9.990176
AddReward	2020/9/18 17:42:41	9.988014
AddReward	2020/9/18 17:42:41	9.991096
AddReward	2020/9/18 17:42:41	9.988073
AddReward	2020/9/18 17:42:41	9.991113
AddReward	2020/9/18 17:42:41	9.987617
AddReward	2020/9/18 17:42:42	9.990731
AddReward	2020/9/18 17:42:42	9.988074
AddReward	2020/9/18 17:42:42	9.991117
AddReward	2020/9/18 17:42:42	9.988088
AddReward	2020/9/18 17:42:42	9.99086
AddReward	2020/9/18 17:42:42	9.988061
AddReward	2020/9/18 17:42:42	9.991118
AddReward	2020/9/18 17:42:42	9.98809
AddReward	2020/9/18 17:42:42	9.991116
AddReward	2020/9/18 17:42:42	9.987756
AddReward	2020/9/18 17:42:42	9.991055
AddReward	2020/9/18 17:42:42	9.988076
AddReward	2020/9/18 17:42:42	9.991117
AddReward	2020/9/18 17:42:42	9.98809
AddReward	2020/9/18 17:42:42	9.987365
AddReward	2020/9/18 17:42:42	9.987698
AddReward	2020/9/18 17:42:42	9.989633
AddReward	2020/9/18 17:42:42	9.987154
AddReward	2020/9/18 17:42:42	9.990773
AddReward	2020/9/18 17:42:42	9.976094
AddReward	2020/9/18 17:42:42	9.990353
AddReward	2020/9/18 17:42:42	9.983108
AddReward	2020/9/18 17:42:42	9.98582
AddReward	2020/9/18 17:42:42	9.984756
AddReward	2020/9/18 17:42:42	9.980257
AddReward	2020/9/18 17:42:42	9.988083
AddReward	2020/9/18 17:42:42	9.990444
AddReward	2020/9/18 17:42:42	9.987612
AddReward	2020/9/18 17:42:42	9.99096
AddReward	2020/9/18 17:42:42	9.983193
AddReward	2020/9/18 17:42:42	9.990964
AddReward	2020/9/18 17:42:42	9.987078
AddReward	2020/9/18 17:42:42	9.990542
AddReward	2020/9/18 17:42:42	9.987937
AddReward	2020/9/18 17:42:42	9.991107
AddReward	2020/9/18 17:42:42	9.988071
AddReward	2020/9/18 17:42:42	9.991099
AddReward	2020/9/18 17:42:42	9.988071
AddReward	2020/9/18 17:42:42	9.991098
AddReward	2020/9/18 17:42:42	9.987478
AddReward	2020/9/18 17:42:42	9.991042
AddReward	2020/9/18 17:42:42	9.988076
AddReward	2020/9/18 17:42:42	9.991113
AddReward	2020/9/18 17:42:42	9.988096
AddReward	2020/9/18 17:42:42	9.991052
AddReward	2020/9/18 17:42:42	9.988078
AddReward	2020/9/18 17:42:42	9.991116
AddReward	2020/9/18 17:42:42	9.98809
AddReward	2020/9/18 17:42:42	9.991117
AddReward	2020/9/18 17:42:42	9.987087
AddReward	2020/9/18 17:42:43	9.991113
AddReward	2020/9/18 17:42:43	9.988076
AddReward	2020/9/18 17:42:43	9.991096
AddReward	2020/9/18 17:42:43	9.988068
AddReward	2020/9/18 17:42:43	9.991023
AddReward	2020/9/18 17:42:43	9.988095
AddReward	2020/9/18 17:42:43	9.991099
AddReward	2020/9/18 17:42:43	9.988058
AddReward	2020/9/18 17:42:43	9.991071
AddReward	2020/9/18 17:42:43	4.90031
AddReward	2020/9/18 17:42:43	6.600987
AddReward	2020/9/18 17:42:43	6.592653
AddReward	2020/9/18 17:42:43	6.586997
AddReward	2020/9/18 17:42:43	6.578529
AddReward	2020/9/18 17:42:43	6.573713
AddReward	2020/9/18 17:42:43	6.564575
AddReward	2020/9/18 17:42:43	6.560134
AddReward	2020/9/18 17:42:43	6.550779
AddReward	2020/9/18 17:42:43	6.546492
AddReward	2020/9/18 17:42:43	6.537024
AddReward	2020/9/18 17:42:43	6.530684
AddReward	2020/9/18 17:42:43	6.523473
AddReward	2020/9/18 17:42:43	6.518981
AddReward	2020/9/18 17:42:43	6.509751
AddReward	2020/9/18 17:42:43	6.505506
AddReward	2020/9/18 17:42:43	6.496097
AddReward	2020/9/18 17:42:43	6.489822
AddReward	2020/9/18 17:42:43	6.482666
AddReward	2020/9/18 17:42:43	6.478228
AddReward	2020/9/18 17:42:43	6.469075
AddReward	2020/9/18 17:42:43	6.464926
AddReward	2020/9/18 17:42:43	6.455545
AddReward	2020/9/18 17:42:43	6.449241
AddReward	2020/9/18 17:42:43	6.442254
AddReward	2020/9/18 17:42:43	6.437578
AddReward	2020/9/18 17:42:43	5.927457
AddReward	2020/9/18 17:42:43	5.871463
AddReward	2020/9/18 17:42:43	5.92865
AddReward	2020/9/18 17:42:43	6.025926
AddReward	2020/9/18 17:42:43	6.153546
AddReward	2020/9/18 17:42:43	6.285809
AddReward	2020/9/18 17:42:43	6.412581
AddReward	2020/9/18 17:42:43	6.544223
AddReward	2020/9/18 17:42:43	6.66963
AddReward	2020/9/18 17:42:43	6.797987
AddReward	2020/9/18 17:42:43	6.918731
AddReward	2020/9/18 17:42:43	7.04161
AddReward	2020/9/18 17:42:43	7.157128
AddReward	2020/9/18 17:42:43	7.274639
AddReward	2020/9/18 17:42:43	7.35067
AddReward	2020/9/18 17:42:44	7.429811
AddReward	2020/9/18 17:42:44	7.503231
AddReward	2020/9/18 17:42:44	7.579703
AddReward	2020/9/18 17:42:44	7.650596
AddReward	2020/9/18 17:42:44	7.677985
AddReward	2020/9/18 17:42:44	7.700972
AddReward	2020/9/18 17:42:44	7.727951
AddReward	2020/9/18 17:42:44	7.750561
AddReward	2020/9/18 17:42:44	7.777132
AddReward	2020/9/18 17:42:44	7.863104
AddReward	2020/9/18 17:42:44	7.951281
AddReward	2020/9/18 17:42:44	8.033493
AddReward	2020/9/18 17:42:44	8.117863
AddReward	2020/9/18 17:42:44	8.196414
AddReward	2020/9/18 17:42:44	8.257369
AddReward	2020/9/18 17:42:44	8.313393
AddReward	2020/9/18 17:42:44	8.37222
AddReward	2020/9/18 17:42:44	8.426203
AddReward	2020/9/18 17:42:44	8.482952
AddReward	2020/9/18 17:42:44	8.553997
AddReward	2020/9/18 17:42:44	8.627102
AddReward	2020/9/18 17:42:44	8.694827
AddReward	2020/9/18 17:42:44	8.764541
AddReward	2020/9/18 17:42:44	8.828981
AddReward	2020/9/18 17:42:44	8.892887
AddReward	2020/9/18 17:42:44	8.952369
AddReward	2020/9/18 17:42:44	9.014022
AddReward	2020/9/18 17:42:44	9.070754
AddReward	2020/9/18 17:42:44	9.129535
AddReward	2020/9/18 17:42:44	9.157391
AddReward	2020/9/18 17:42:44	9.188299
AddReward	2020/9/18 17:42:44	9.215396
AddReward	2020/9/18 17:42:44	9.24544
AddReward	2020/9/18 17:42:44	9.271683
AddReward	2020/9/18 17:42:44	9.330916
AddReward	2020/9/18 17:42:44	9.388829
AddReward	2020/9/18 17:42:44	9.44803
AddReward	2020/9/18 17:42:44	9.502518
AddReward	2020/9/18 17:42:44	9.558698
AddReward	2020/9/18 17:42:44	9.609302
AddReward	2020/9/18 17:42:44	9.662301
AddReward	2020/9/18 17:42:44	9.710545
AddReward	2020/9/18 17:42:44	9.76048
AddReward	2020/9/18 17:42:44	9.805773
AddReward	2020/9/18 17:42:44	9.83046
AddReward	2020/9/18 17:42:44	9.852499
AddReward	2020/9/18 17:42:44	9.877227
AddReward	2020/9/18 17:42:44	9.898407
AddReward	2020/9/18 17:42:44	9.922251
AddReward	2020/9/18 17:42:44	9.957389
AddReward	2020/9/18 17:42:45	9.991102
AddReward	2020/9/18 17:42:45	9.988097
AddReward	2020/9/18 17:42:45	9.991118
AddReward	2020/9/18 17:42:45	9.98809
AddReward	2020/9/18 17:42:45	9.981974
AddReward	2020/9/18 17:42:45	9.986904
AddReward	2020/9/18 17:42:45	9.985622
AddReward	2020/9/18 17:42:45	9.982454
AddReward	2020/9/18 17:42:45	9.987573
AddReward	2020/9/18 17:42:45	9.983157
AddReward	2020/9/18 17:42:45	9.990546
AddReward	2020/9/18 17:42:45	9.987907
AddReward	2020/9/18 17:42:45	9.99104
AddReward	2020/9/18 17:42:45	9.988037
AddReward	2020/9/18 17:42:45	9.99111
AddReward	2020/9/18 17:42:45	9.988065
AddReward	2020/9/18 17:42:45	9.99109
AddReward	2020/9/18 17:42:45	9.988056
AddReward	2020/9/18 17:42:45	9.991086
AddReward	2020/9/18 17:42:45	9.987161
AddReward	2020/9/18 17:42:45	9.986481
AddReward	2020/9/18 17:42:45	9.982814
AddReward	2020/9/18 17:42:45	9.982224
AddReward	2020/9/18 17:42:45	9.978603
AddReward	2020/9/18 17:42:45	9.990753
AddReward	2020/9/18 17:42:45	9.988088
AddReward	2020/9/18 17:42:45	9.991088
AddReward	2020/9/18 17:42:45	9.988039
AddReward	2020/9/18 17:42:45	9.991063
AddReward	2020/9/18 17:42:45	9.986606
AddReward	2020/9/18 17:42:45	9.991079
AddReward	2020/9/18 17:42:45	9.988068
AddReward	2020/9/18 17:42:45	9.991108
AddReward	2020/9/18 17:42:45	9.988077
AddReward	2020/9/18 17:42:45	9.990866
AddReward	2020/9/18 17:42:45	9.988028
AddReward	2020/9/18 17:42:45	9.991103
AddReward	2020/9/18 17:42:45	9.988084
AddReward	2020/9/18 17:42:45	9.991117
AddReward	2020/9/18 17:42:45	9.988087
AddReward	2020/9/18 17:42:45	9.991118
AddReward	2020/9/18 17:42:45	9.988086
AddReward	2020/9/18 17:42:45	9.991117
AddReward	2020/9/18 17:42:45	9.988086
AddReward	2020/9/18 17:42:45	9.990891
AddReward	2020/9/18 17:42:45	9.98808
AddReward	2020/9/18 17:42:45	9.991121
AddReward	2020/9/18 17:42:45	9.988084
AddReward	2020/9/18 17:42:45	9.991106
AddReward	2020/9/18 17:42:45	9.982873
AddReward	2020/9/18 17:42:46	9.990787
AddReward	2020/9/18 17:42:46	9.986401
AddReward	2020/9/18 17:42:46	9.989909
AddReward	2020/9/18 17:42:46	9.987759
AddReward	2020/9/18 17:42:46	9.988516
AddReward	2020/9/18 17:42:46	9.988092
AddReward	2020/9/18 17:42:46	9.9911
AddReward	2020/9/18 17:42:46	9.988092
